"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000228794",3.30682738904777,0.0561772443223493,0.533699003132332,0.105260163486609,0.916169372252275,0.999893216865001
"ENSG00000223764",2.68061614329881,-0.514739966232315,0.569448069464112,-0.903927844933637,0.3660336631416,0.999893216865001
"ENSG00000187634",3.48959564035899,-0.487328840924681,0.500184395323549,-0.974298369723125,0.32990841389555,0.999893216865001
"ENSG00000188976",6.85946520117448,-0.0153043755729655,0.37664175674792,-0.0406337728060474,0.967587859575931,0.999893216865001
"ENSG00000187961",3.74255816603415,-0.105836952770804,0.493139144050122,-0.214618843480101,0.830064501289536,0.999893216865001
"ENSG00000187583",2.49450715162535,-0.167049345184139,0.595965528511899,-0.280300348245399,0.779247083627388,0.999893216865001
"ENSG00000187608",3.8641964124633,0.211568166037595,0.511344910486671,0.413748453732013,0.679058337693659,0.999893216865001
"ENSG00000188157",7.67157927594917,0.196893043607931,0.369832408902485,0.532384504084514,0.594459715405172,0.999893216865001
"ENSG00000242590",3.11764523975912,0.621535609076857,0.604898155071885,1.0275045540567,0.304182942139156,0.999893216865001
"ENSG00000131591",2.86966671183466,-0.0627507109330903,0.561292503751715,-0.111796809174647,0.910984517573824,0.999893216865001
"ENSG00000078808",8.29594156825223,0.0927529344010588,0.350628298280743,0.264533509861754,0.7913688470178,0.999893216865001
"ENSG00000176022",4.74151332690925,-0.0797568697966855,0.443104380842943,-0.179995669744811,0.857155967722506,0.999893216865001
"ENSG00000160087",5.17690097853732,0.0898741699279697,0.434112690268787,0.207029584581651,0.835986753836641,0.999893216865001
"ENSG00000162572",1.31057528454402,1.01923019462902,0.993941635756393,1.02544270001667,0.305154349084582,0.999893216865001
"ENSG00000131584",5.80094645711578,-0.041761775658436,0.405451784910885,-0.103000596402887,0.917962497611293,0.999893216865001
"ENSG00000169972",3.7429056059141,-0.105791171233563,0.493152847059891,-0.214520045588858,0.830141536676292,0.999893216865001
"ENSG00000127054",5.42398126998698,-0.0890100094325938,0.415965660043654,-0.213984032776293,0.830559508796658,0.999893216865001
"ENSG00000224051",4.30414674851229,-0.0626328892966075,0.465328840686161,-0.134599199147533,0.892928774833443,0.999893216865001
"ENSG00000107404",6.3605652779697,-0.0914773559722909,0.386662727037347,-0.236581779353807,0.812981256932045,0.999893216865001
"ENSG00000162576",8.10796665772462,-0.124703168648821,0.346424799726286,-0.359971828654734,0.718868200800369,0.999893216865001
